alpha,instance_id,hd_mean,hd_min,hd_max,hd_std,eng_count,bit_count,gs_count,best_energy,best_delta,target_density
0.04,34,0.41,0,8,1.3273658124270038,90,90,90,-5727.760000002455,-2.4547262000851333e-09,0.550784034212402
0.04,35,1.45,0,9,2.0168044030098704,61,61,61,-5609.20000000247,-2.470187610015273e-09,0.5673556664290805
0.04,36,0.39,0,3,1.0089103032480142,87,87,87,-5605.80000000253,-2.5302142603322864e-09,0.5596935138987883
0.04,37,0.09,0,3,0.5117616632769595,97,97,97,-6063.760000002445,-2.444721758365631e-09,0.5490021382751248
0.04,38,0.51,0,7,1.3674428690076965,87,87,87,-5460.040000002482,-2.482011041138321e-09,0.5582679971489665
0.04,39,0.57,0,12,2.0012745938526275,91,91,91,-5583.040000002519,-2.5193003239110112e-09,0.5465074839629366
0.04,40,1.06,0,12,2.253086771520351,78,78,78,-5393.720000002488,-2.4874680093489587e-09,0.5400926585887385
0.04,41,0.0,0,0,0.0,100,100,100,-5781.800000002458,-2.457454684190452e-09,0.5525659301496793
0.04,42,0.14,0,4,0.6931089380465383,96,96,96,-5668.000000002481,-2.4811015464365482e-09,0.5538132573057734
0.04,43,0.0,0,0,0.0,100,100,100,-5831.80000000247,-2.470187610015273e-09,0.550071275837491
0.04,44,0.0,0,0,0.0,100,100,100,-6501.96000000235,-2.3501343093812466e-09,0.5511404133998574
0.04,45,0.18,0,3,0.712460525222275,94,94,94,-5343.2000000024145,-2.4147084332071245e-09,0.5427655024946543
0.04,46,0.0,0,0,0.0,100,100,100,-5710.480000002445,-2.445631253067404e-09,0.5473984319315752
0.04,47,2.23,0,12,2.5252920623167525,46,46,46,-5555.200000002467,-2.4674591259099543e-09,0.5602280826799715
0.04,48,0.1,0,4,0.5744562646538028,97,97,97,-5583.9200000024075,-2.407432475592941e-09,0.5561297220242338
0.04,49,0.47,0,5,1.135385397122933,85,85,85,-5269.2000000024545,-2.4547262000851333e-09,0.5484675694939416
0.04,50,2.36,0,16,3.238888698303787,54,54,54,-5225.720000002441,-2.4410837795585394e-09,0.5506058446186742
0.04,51,0.0,0,0,0.0,100,100,100,-6056.960000002476,-2.4756445782259107e-09,0.5582679971489665
0.04,52,0.03,0,3,0.29849623113198603,99,99,99,-6000.80000000247,-2.470187610015273e-09,0.5564861012116893
0.04,53,0.18,0,3,0.712460525222275,94,94,94,-5451.56000000236,-2.3601387511007488e-09,0.5518531717747683
0.04,54,0.07,0,4,0.49507575177946256,98,98,98,-5807.360000002526,-2.5256667868234217e-09,0.5575552387740556
0.04,55,0.75,0,12,1.9512816301087856,83,83,83,-5331.120000002483,-2.482920535840094e-09,0.5488239486813971
0.04,56,0.14,0,5,0.7073895673530958,96,96,96,-5643.00000000246,-2.460183168295771e-09,0.5539914468995011
0.04,57,1.47,0,8,2.017201031131999,61,61,61,-5308.84000000249,-2.4901964934542775e-09,0.544903777619387
0.04,58,0.35,0,6,1.1434596626029272,91,91,91,-5734.600000002501,-2.5002009351737797e-09,0.5482893799002139
0.04,59,3.38,0,12,3.2765225468474957,39,39,39,-5109.480000002364,-2.3646862246096134e-09,0.550784034212402
0.04,60,0.09,0,3,0.5117616632769595,97,97,97,-5826.880000002455,-2.4547262000851333e-09,0.5584461867426942
0.04,61,0.0,0,0,0.0,100,100,100,-5564.640000002363,-2.3628672352060676e-09,0.5450819672131147
0.04,62,0.04,0,4,0.39799497484264795,99,99,99,-5962.480000002425,-2.4256223696283996e-09,0.5648610121168923
0.04,63,0.52,0,7,1.4316424134538626,87,87,87,-5594.000000002471,-2.471097104717046e-09,0.5502494654312188
0.04,64,0.13,0,4,0.6427285585688565,96,96,96,-5594.760000002536,-2.535671228542924e-09,0.5531004989308624
0.04,65,0.42,0,6,1.2262136844775466,89,89,89,-5428.120000002473,-2.472916094120592e-09,0.5532786885245902
0.04,66,0.9,0,8,1.7,76,76,76,-5587.960000002408,-2.408341970294714e-09,0.5511404133998574
